Geneid	X.home.bio.NCL_OV.clean_data.bam_output.HFLS.sh.1.bam	X.home.bio.NCL_OV.clean_data.bam_output.HFLS.sh.3.bam	X.home.bio.NCL_OV.clean_data.bam_output.HFLS.sh.4.bam	X.home.bio.NCL_OV.clean_data.bam_output.HFLS.sh.NC.1.bam	X.home.bio.NCL_OV.clean_data.bam_output.HFLS.sh.NC.2.bam	X.home.bio.NCL_OV.clean_data.bam_output.HFLS.sh.NC.3.bam	gene_name	gene_biotype
141	ENSG00000006555	0	0	0	0	0	0	TTC22	protein_coding
142	ENSG00000006576	775	911	908	983	1130	1122	PHTF2	protein_coding
143	ENSG00000006606	14	12	34	17	29	66	CCL26	protein_coding
144	ENSG00000006607	1197	1408	1590	1220	1260	998	FARP2	protein_coding
145	ENSG00000006611	0	0	0	0	0	0	USH1C	protein_coding
146	ENSG00000006625	141	162	147	52	85	65	GGCT	protein_coding
147	ENSG00000006634	97	90	101	52	101	144	DBF4	protein_coding
148	ENSG00000006638	146	198	171	198	192	227	TBXA2R	protein_coding
149	ENSG00000006652	290	246	230	121	138	182	IFRD1	protein_coding
150	ENSG00000006659	0	0	0	0	0	0	LGALS14	protein_coding
151	ENSG00000006695	384	370	342	152	214	217	COX10	protein_coding
152	ENSG00000006704	902	888	894	659	681	849	GTF2IRD1	protein_coding
153	ENSG00000006712	1887	1454	1544	1101	1622	1911	PAF1	protein_coding
154	ENSG00000006715	1207	1506	1403	1051	1197	1429	VPS41	protein_coding
155	ENSG00000006740	6	12	10	14	11	15	ARHGAP44	protein_coding
156	ENSG00000006744	1699	1507	1674	1070	1724	2047	ELAC2	protein_coding
157	ENSG00000006747	23	24	49	32	114	40	SCIN	protein_coding
158	ENSG00000006756	414	443	471	382	431	638	ARSD	protein_coding
159	ENSG00000006757	160	122	144	92	78	110	PNPLA4	protein_coding
160	ENSG00000006788	12	12	16	8	6	0	MYH13	protein_coding
161	ENSG00000006831	28	41	93	40	15	51	ADIPOR2	protein_coding
162	ENSG00000006837	42	29	23	13	12	2	CDKL3	protein_coding
163	ENSG00000007001	0	0	0	0	0	2	UPP2	protein_coding
164	ENSG00000007038	0	0	0	0	0	0	PRSS21	protein_coding
165	ENSG00000007047	2699	2622	2923	2536	2608	2624	MARK4	protein_coding
166	ENSG00000007062	0	0	0	0	0	2	PROM1	protein_coding
167	ENSG00000007080	2117	2025	2546	1106	1692	2124	CCDC124	protein_coding
168	ENSG00000007129	0	0	0	0	0	0	CEACAM21	protein_coding
169	ENSG00000007168	3785	3876	4295	2620	3355	4156	PAFAH1B1	protein_coding
170	ENSG00000007171	0	0	0	4	0	2	NOS2	protein_coding
171	ENSG00000007174	0	4	0	0	2	0	DNAH9	protein_coding
172	ENSG00000007202	2495	2724	3197	3998	5226	5731	KIAA0100	protein_coding
173	ENSG00000007216	0	0	0	0	0	0	SLC13A2	protein_coding
174	ENSG00000007237	2022	1793	1859	744	905	1065	GAS7	protein_coding
175	ENSG00000007255	280	383	537	90	132	124	TRAPPC6A	protein_coding
176	ENSG00000007264	0	0	0	0	0	2	MATK	protein_coding
177	ENSG00000007306	0	0	0	0	0	0	CEACAM7	protein_coding
178	ENSG00000007312	0	0	0	0	0	0	CD79B	protein_coding
179	ENSG00000007314	0	0	0	0	0	0	SCN4A	protein_coding
180	ENSG00000007341	227	329	316	261	236	376	ST7L	protein_coding
181	ENSG00000007350	0	0	0	0	0	0	TKTL1	protein_coding
182	ENSG00000007372	8	24	22	18	16	6	PAX6	protein_coding
183	ENSG00000007376	837	929	1205	515	672	1051	RPUSD1	protein_coding
184	ENSG00000007384	4613	4116	4078	3604	4503	6402	RHBDF1	protein_coding
185	ENSG00000007392	1531	1408	1493	981	1242	1391	LUC7L	protein_coding
186	ENSG00000007402	12	16	22	21	30	46	CACNA2D2	protein_coding
187	ENSG00000007516	23	6	18	16	23	12	BAIAP3	protein_coding
188	ENSG00000007520	1403	1901	2740	857	1355	1153	TSR3	protein_coding
189	ENSG00000007541	1592	1264	1449	833	1219	1537	PIGQ	protein_coding
190	ENSG00000007545	518	503	588	450	449	589	CRAMP1	protein_coding
191	ENSG00000007866	3254	2782	3133	1783	2201	2506	TEAD3	protein_coding
192	ENSG00000007908	0	0	0	0	0	0	SELE	protein_coding
193	ENSG00000007923	872	1144	1072	891	1229	1365	DNAJC11	protein_coding
194	ENSG00000007933	0	2	0	2	6	0	FMO3	protein_coding
195	ENSG00000007944	348	512	512	237	308	562	MYLIP	protein_coding
196	ENSG00000007952	6	3	4	3	1	4	NOX1	protein_coding
197	ENSG00000007968	0	0	0	0	0	0	E2F2	protein_coding
198	ENSG00000008018	3122	2367	2869	1672	2276	2566	PSMB1	protein_coding
199	ENSG00000008056	17	26	24	6	22	37	SYN1	protein_coding
200	ENSG00000008083	769	957	1100	1112	730	1179	JARID2	protein_coding
201	ENSG00000008086	247	295	354	272	303	335	CDKL5	protein_coding
202	ENSG00000008118	4	6	8	8	32	31	CAMK1G	protein_coding
203	ENSG00000008128	80	78	74	60	59	93	CDK11A	protein_coding
204	ENSG00000008130	2281	2688	3271	1471	2310	2429	NADK	protein_coding
205	ENSG00000008196	0	0	0	0	0	0	TFAP2B	protein_coding
206	ENSG00000008197	0	0	0	0	0	0	TFAP2D	protein_coding
207	ENSG00000008226	3	12	5	6	0	4	DLEC1	protein_coding
208	ENSG00000008256	4361	4646	5053	3680	3564	3034	CYTH3	protein_coding
209	ENSG00000008277	22	43	54	24	51	54	ADAM22	protein_coding
210	ENSG00000008282	2454	2234	2681	1629	2095	1803	SYPL1	protein_coding
211	ENSG00000008283	1135	1252	1438	1173	1661	1879	CYB561	protein_coding
212	ENSG00000008294	2741	2638	2742	3143	3059	3348	SPAG9	protein_coding
213	ENSG00000008300	363	522	529	597	524	615	CELSR3	protein_coding
214	ENSG00000008311	240	382	264	269	301	660	AASS	protein_coding
215	ENSG00000008323	24	17	32	8	19	15	PLEKHG6	protein_coding
216	ENSG00000008324	227	233	298	78	143	145	SS18L2	protein_coding
217	ENSG00000008382	257	182	252	63	136	92	MPND	protein_coding
218	ENSG00000008394	2642	2759	3056	2714	2956	2974	MGST1	protein_coding
219	ENSG00000008405	416	415	357	295	348	414	CRY1	protein_coding
220	ENSG00000008438	0	6	0	0	0	4	PGLYRP1	protein_coding
221	ENSG00000008441	4696	6249	6901	7469	7853	9159	NFIX	protein_coding
222	ENSG00000008513	1696	2387	2713	2045	2803	2387	ST3GAL1	protein_coding
223	ENSG00000008516	25	36	36	35	32	48	MMP25	protein_coding
224	ENSG00000008517	512	514	571	545	451	445	IL32	protein_coding
225	ENSG00000008710	7518	12246	12525	9917	10859	7365	PKD1	protein_coding
226	ENSG00000008735	46	32	36	28	44	58	MAPK8IP2	protein_coding
227	ENSG00000008838	1476	1381	1560	1076	1444	1989	MED24	protein_coding
228	ENSG00000008853	568	623	751	478	681	658	RHOBTB2	protein_coding
229	ENSG00000008869	495	537	554	728	945	930	HEATR5B	protein_coding
230	ENSG00000008952	2032	2502	2537	3835	3728	4265	SEC62	protein_coding
231	ENSG00000008988	15892	14351	17356	5750	9126	7588	RPS20	protein_coding
232	ENSG00000009307	13919	16183	16681	10993	12340	13262	CSDE1	protein_coding
233	ENSG00000009335	2582	2866	3270	3234	4271	5264	UBE3C	protein_coding
234	ENSG00000009413	877	1335	1306	2949	2195	2215	REV3L	protein_coding
235	ENSG00000009694	0	0	0	0	0	0	TENM1	protein_coding
236	ENSG00000009709	0	0	0	0	0	0	PAX7	protein_coding
237	ENSG00000009724	27	102	71	74	57	47	MASP2	protein_coding
238	ENSG00000009765	0	0	0	0	0	0	IYD	protein_coding
239	ENSG00000009780	148	142	116	103	171	167	FAM76A	protein_coding
240	ENSG00000009790	0	0	0	11	4	2	TRAF3IP3	protein_coding
241	ENSG00000009830	1000	1088	1123	696	1079	1061	POMT2	protein_coding
242	ENSG00000009844	1812	2121	2343	1182	1247	1572	VTA1	protein_coding
243	ENSG00000009950	0	1	0	0	4	0	MLXIPL	protein_coding
244	ENSG00000009954	2617	3041	3075	2975	3173	3767	BAZ1B	protein_coding
245	ENSG00000010017	1391	1344	1442	1964	1993	2512	RANBP9	protein_coding
246	ENSG00000010030	34	32	53	11	18	37	ETV7	protein_coding
247	ENSG00000010072	290	384	436	243	293	313	SPRTN	protein_coding
248	ENSG00000010165	1273	1123	1197	552	1123	1200	METTL13	protein_coding
249	ENSG00000010219	289	209	211	185	207	230	DYRK4	protein_coding
250	ENSG00000010244	2746	2635	2801	2310	2768	3226	ZNF207	protein_coding
251	ENSG00000010256	4121	3888	4629	2749	3770	4515	UQCRC1	protein_coding
252	ENSG00000010270	1068	1144	1102	684	924	878	STARD3NL	protein_coding
253	ENSG00000010278	13	36	58	58	37	110	CD9	protein_coding
254	ENSG00000010282	0	4	0	0	0	0	HHATL	protein_coding
255	ENSG00000010292	1276	1437	1604	1035	1531	1356	NCAPD2	protein_coding
256	ENSG00000010295	1677	1742	1900	1301	1821	3483	IFFO1	protein_coding
257	ENSG00000010310	86	142	136	270	208	189	GIPR	protein_coding
258	ENSG00000010318	30	40	66	125	90	85	PHF7	protein_coding
259	ENSG00000010319	2	6	2	4	0	6	SEMA3G	protein_coding
260	ENSG00000010322	5868	6640	6972	6789	7070	6600	NISCH	protein_coding
261	ENSG00000010327	4	8	30	4	10	10	STAB1	protein_coding
262	ENSG00000010361	230	234	332	190	232	351	FUZ	protein_coding
263	ENSG00000010379	18	0	1	0	2	1	SLC6A13	protein_coding
264	ENSG00000010404	354	494	405	601	509	363	IDS	protein_coding
265	ENSG00000010438	0	0	0	1	6	6	PRSS3	protein_coding
266	ENSG00000010539	289	200	236	190	228	179	ZNF200	protein_coding
267	ENSG00000010610	67	61	85	104	151	112	CD4	protein_coding
268	ENSG00000010626	220	212	241	141	200	153	LRRC23	protein_coding
269	ENSG00000010671	0	0	0	0	0	0	BTK	protein_coding
270	ENSG00000010704	529	966	963	558	674	519	HFE	protein_coding
271	ENSG00000010803	1169	1032	1177	814	1022	919	SCMH1	protein_coding
272	ENSG00000010810	1995	1892	2222	1970	1915	3675	FYN	protein_coding
273	ENSG00000010818	2699	3047	3185	4127	3726	5018	HIVEP2	protein_coding
274	ENSG00000010932	1	0	0	0	0	0	FMO1	protein_coding
275	ENSG00000011007	1832	1778	1897	1769	2081	2038	ELOA	protein_coding
276	ENSG00000011009	2038	1722	1806	762	1336	1443	LYPLA2	protein_coding
277	ENSG00000011021	910	882	917	812	912	1200	CLCN6	protein_coding
278	ENSG00000011028	36452	47779	53365	64946	69201	55788	MRC2	protein_coding
279	ENSG00000011052	0	0	0	0	0	0	NME1-NME2	protein_coding
280	ENSG00000011083	6	0	4	2	2	35	SLC6A7	protein_coding
281	ENSG00000011105	3219	4729	5374	4064	5236	6005	TSPAN9	protein_coding
282	ENSG00000011114	8	42	13	36	23	76	BTBD7	protein_coding
283	ENSG00000011132	679	922	990	570	599	791	APBA3	protein_coding
284	ENSG00000011143	132	124	140	134	125	126	MKS1	protein_coding
285	ENSG00000011198	931	951	925	619	988	720	ABHD5	protein_coding
286	ENSG00000011201	2	14	4	2	0	2	ANOS1	protein_coding
287	ENSG00000011243	1597	1259	1476	1221	1201	1894	AKAP8L	protein_coding
288	ENSG00000011258	507	424	473	480	435	355	MBTD1	protein_coding
289	ENSG00000011260	670	546	596	364	504	496	UTP18	protein_coding
290	ENSG00000011275	2431	2268	2694	2021	2571	2550	RNF216	protein_coding
291	ENSG00000011295	623	566	722	478	522	557	TTC19	protein_coding
292	ENSG00000011304	9310	8488	9270	7016	8566	8852	PTBP1	protein_coding
293	ENSG00000011332	35	26	11	10	42	76	DPF1	protein_coding
294	ENSG00000011347	1	6	6	16	4	32	SYT7	protein_coding
295	ENSG00000011376	419	483	578	455	670	722	LARS2	protein_coding
296	ENSG00000011405	1175	1518	1393	1319	1288	1357	PIK3C2A	protein_coding
297	ENSG00000011422	2820	2150	2418	2532	2650	3602	PLAUR	protein_coding
298	ENSG00000011426	86	94	109	92	1358	214	ANLN	protein_coding
299	ENSG00000011451	3830	3290	3714	3172	3354	5037	WIZ	protein_coding
300	ENSG00000011454	1243	1734	1883	1443	1492	1921	RABGAP1	protein_coding
301	ENSG00000011465	21370	24713	27210	24677	22165	31882	DCN	protein_coding
302	ENSG00000011478	497	593	722	526	608	564	QPCTL	protein_coding
303	ENSG00000011485	1461	1443	1575	1299	1796	2177	PPP5C	protein_coding
304	ENSG00000011523	533	542	685	664	682	552	CEP68	protein_coding
305	ENSG00000011566	1032	1214	1359	993	830	786	MAP4K3	protein_coding
306	ENSG00000011590	4	6	8	2	8	0	ZBTB32	protein_coding
307	ENSG00000011600	0	0	0	0	0	2	TYROBP	protein_coding
308	ENSG00000011638	398	549	616	316	552	441	LDAF1	protein_coding
309	ENSG00000011677	0	0	2	2	12	0	GABRA3	protein_coding
310	ENSG00000012048	82	72	74	46	148	89	BRCA1	protein_coding
311	ENSG00000012061	1502	1283	1496	1463	1490	1916	ERCC1	protein_coding
312	ENSG00000012124	0	0	0	0	0	1	CD22	protein_coding
313	ENSG00000012171	271	315	426	492	526	383	SEMA3B	protein_coding
314	ENSG00000012174	717	690	712	699	865	700	MBTPS2	protein_coding
315	ENSG00000012211	272	329	285	264	346	397	PRICKLE3	protein_coding
316	ENSG00000012223	0	0	0	0	0	0	LTF	protein_coding
317	ENSG00000012232	3739	4483	5310	2417	3320	4293	EXTL3	protein_coding
318	ENSG00000012504	0	0	0	0	0	0	NR1H4	protein_coding
319	ENSG00000012660	2247	2390	2418	1317	1758	2031	ELOVL5	protein_coding
320	ENSG00000012779	0	0	0	0	0	0	ALOX5	protein_coding
321	ENSG00000012817	1112	1334	1300	1038	1141	1105	KDM5D	protein_coding
322	ENSG00000012822	8536	8029	8483	9499	8194	9614	CALCOCO1	protein_coding
323	ENSG00000012963	4	10	2	2	8	10	UBR7	protein_coding
324	ENSG00000012983	2458	2383	2572	2125	1972	2327	MAP4K5	protein_coding
325	ENSG00000013016	588	919	1017	1788	2625	5089	EHD3	protein_coding
326	ENSG00000013275	0	0	0	0	0	0	PSMC4	protein_coding
327	ENSG00000013288	2901	2731	3140	5974	6317	6810	MAN2B2	protein_coding
328	ENSG00000013293	83	42	52	35	18	38	SLC7A14	protein_coding
329	ENSG00000013297	16252	10427	12011	6719	8086	11806	CLDN11	protein_coding
330	ENSG00000013306	2425	2502	2863	1597	2797	2971	SLC25A39	protein_coding
331	ENSG00000013364	7527	6972	8524	6337	10364	10845	MVP	protein_coding
332	ENSG00000013374	665	603	745	1117	1144	1717	NUB1	protein_coding
333	ENSG00000013375	1946	1803	2018	1477	2135	2382	PGM3	protein_coding
334	ENSG00000013392	277	322	288	275	322	292	RWDD2A	protein_coding
335	ENSG00000013441	3462	3311	3325	2382	1953	2043	CLK1	protein_coding
336	ENSG00000013503	374	248	310	204	337	342	POLR3B	protein_coding
337	ENSG00000013523	310	383	466	399	390	637	ANGEL1	protein_coding
338	ENSG00000013561	669	577	587	608	893	898	RNF14	protein_coding
339	ENSG00000013563	196	160	137	151	242	294	DNASE1L1	protein_coding
340	ENSG00000013573	192	240	267	137	281	385	DDX11	protein_coding
341	ENSG00000013583	2511	2362	2823	1242	1728	1417	HEBP1	protein_coding
342	ENSG00000013588	141	83	144	168	179	92	GPRC5A	protein_coding
343	ENSG00000013619	638	474	520	280	312	315	MAMLD1	protein_coding
344	ENSG00000013725	0	0	0	0	0	0	CD6	protein_coding
345	ENSG00000013810	260	290	297	221	922	352	TACC3	protein_coding
346	ENSG00000014123	637	781	743	799	637	637	UFL1	protein_coding
347	ENSG00000014138	54	30	53	27	54	75	POLA2	protein_coding
348	ENSG00000014164	517	356	423	364	431	524	ZC3H3	protein_coding
349	ENSG00000014216	4305	4350	5213	3651	6280	7207	CAPN1	protein_coding
350	ENSG00000014257	18	30	38	73	35	54	ACP3	protein_coding
351	ENSG00000014641	1888	1471	1832	1041	2014	1849	MDH1	protein_coding
352	ENSG00000014824	1051	976	954	1555	1587	1934	SLC30A9	protein_coding
353	ENSG00000014914	600	658	570	640	583	734	MTMR11	protein_coding
354	ENSG00000014919	441	333	440	297	332	291	COX15	protein_coding
355	ENSG00000015133	10	12	5	2	7	17	CCDC88C	protein_coding
356	ENSG00000015153	475	500	509	269	339	424	YAF2	protein_coding
357	ENSG00000015171	2442	2764	2651	2257	2223	2242	ZMYND11	protein_coding
358	ENSG00000015285	0	15	12	7	3	9	WAS	protein_coding
359	ENSG00000015413	0	0	0	2	0	0	DPEP1	protein_coding
360	ENSG00000015475	1593	1386	1564	749	1114	1325	BID	protein_coding
361	ENSG00000015479	56	49	73	42	38	42	MATR3	protein_coding
362	ENSG00000015520	0	0	0	2	2	0	NPC1L1	protein_coding
363	ENSG00000015532	2330	2381	2865	2067	2235	2186	XYLT2	protein_coding
364	ENSG00000015568	27	47	57	32	82	55	RGPD5	protein_coding
365	ENSG00000015592	0	0	0	0	2	0	STMN4	protein_coding
366	ENSG00000015676	2013	2153	2625	1964	2661	2857	NUDCD3	protein_coding
